,,台北值班,淡水值班,台北門診,淡水門診,台北白班,淡水白班,OFF,假
1,三,k,t,u,j,,,,o
2,四,o,r,,,,,,j
3,五,,,,,,,,
4,六,,,,,,,,
5,日,,,,,,,,
6,一,,,,,,,,
7,二,o,r,,j,,,,km
8,三,j,t,,,,,,k
9,四,u,m,,,,,,k
10,五,s,n,,,,,,ot
11,六,,,,,,,,t
12,日,,,,,,,,t
13,一,n,k,,,,,,t
14,二,j,t,,o,,,,
15,三,u,r,,n,,,,
16,四,o,m,,,,,,
17,五,s,u,,t,,,,
18,六,,,j,k,,,,r
19,日,,,,,,,,r
20,一,j,t,,,,,,r
21,二,n,u,,m,,,,r
22,三,m,t,k,j,,,,r
23,四,j,k,,,,,,r
24,五,s,o,n,m,,,,rt
25,六,,,,t,,,,jru
26,日,,,,,,,,jru
27,一,o,n,r,t,,,,u
28,二,k,t,,u,,,,
29,三,n,m,,r,,,,
30,四,u,r,,,,,,k
